catch_rate,height,data7,data3,data6.1,defense,sp_atk,sp_def,dexnum,special_group,percent_female,data2,hp,data5,generation,base_exp,speed,weight,total,ev_yield,data6.3,data6.2,growth_rate,data4,base_friendship,attack,egg_cycles,data1,data6,percent_male
45,0.7,Monster,Seed,Grass ,49,65,65,1,Ordinary,12.5,Poison,45,Chlorophyll,1,64,45,6.9,318,1 Sp. Atk,Grass ,,Medium Slow,Overgrow,50,49,20,Grass,,87.5
45,1.0,Monster,Seed,Grass ,63,80,80,2,Ordinary,12.5,Poison,60,Chlorophyll,1,142,60,13.0,405,"1 Sp. Atk, 1 Sp. Def",Grass ,,Medium Slow,Overgrow,50,62,20,Grass,,87.5
45,2.0,Monster,Seed,Grass ,83,100,100,3,Ordinary,12.5,Poison,80,Chlorophyll,1,236,80,100.0,525,"2 Sp. Atk, 1 Sp. Def",Grass ,,Medium Slow,Overgrow,50,82,20,Grass,,87.5
45,0.6,Monster,Lizard,Dragon ,43,60,50,4,Ordinary,12.5,,39,Solar Power,1,62,65,8.5,309,1 Speed,Dragon ,,Medium Slow,Blaze,50,52,20,Fire,,87.5
45,1.1,Monster,Flame,Dragon ,58,80,65,5,Ordinary,12.5,,58,Solar Power,1,142,80,19.0,405,"1 Sp. Atk, 1 Speed",Dragon ,,Medium Slow,Blaze,50,64,20,Fire,,87.5
45,1.7,Monster,Flame,Dragon ,78,109,85,6,Ordinary,12.5,Flying,78,Solar Power,1,267,100,90.5,534,3 Sp. Atk,Dragon ,,Medium Slow,Blaze,50,84,20,Fire,,87.5
45,0.5,Water 1,Tiny Turtle,Monster ,65,50,64,7,Ordinary,12.5,,44,Rain Dish,1,63,43,9.0,314,1 Defense,Monster ,,Medium Slow,Torrent,50,48,20,Water,,87.5
45,1.0,Water 1,Turtle,Monster ,80,65,80,8,Ordinary,12.5,,59,Rain Dish,1,142,58,22.5,405,"1 Defense, 1 Sp. Def",Monster ,,Medium Slow,Torrent,50,63,20,Water,,87.5
45,1.6,Water 1,Shellfish,Monster ,100,85,105,9,Ordinary,12.5,,79,Rain Dish,1,239,78,85.5,530,3 Sp. Def,Monster ,,Medium Slow,Torrent,50,83,20,Water,,87.5
255,0.3,,Worm,Bug,35,20,20,10,Ordinary,50.0,,45,Run Away,1,39,45,2.9,195,1 HP,Bug,,Medium Fast,Shield Dust,50,30,15,Bug,,50.0
120,0.7,,Cocoon,Bug,55,25,25,11,Ordinary,50.0,,50,,1,72,30,9.9,205,2 Defense,Bug,,Medium Fast,Shed Skin,50,20,15,Bug,,50.0
45,1.1,,Butterfly,Bug,50,90,80,12,Ordinary,50.0,Flying,60,Tinted Lens,1,178,70,32.0,395,"2 Sp. Atk, 1 Sp. Def",Bug,,Medium Fast,Compound Eyes,50,45,15,Bug,,50.0
255,0.3,,Hairy Bug,Bug,30,20,20,13,Ordinary,50.0,Poison,40,Run Away,1,39,50,3.2,195,1 Speed,Bug,,Medium Fast,Shield Dust,50,35,15,Bug,,50.0
120,0.6,,Cocoon,Bug,50,25,25,14,Ordinary,50.0,Poison,45,,1,72,35,10.0,205,2 Defense,Bug,,Medium Fast,Shed Skin,50,25,15,Bug,,50.0
45,1.0,,Poison Bee,Bug,40,45,80,15,Ordinary,50.0,Poison,65,Sniper,1,178,75,29.5,395,"2 Attack, 1 Sp. Def",Bug,,Medium Fast,Swarm,50,90,15,Bug,,50.0
255,0.3,,Tiny Bird,Flying,40,35,35,16,Ordinary,50.0,Flying,40,Tangled Feet,1,50,56,1.8,251,1 Speed,Flying,Big Pecks,Medium Slow,Keen Eye,50,45,15,Normal,Big Pecks,50.0
120,1.1,,Bird,Flying,55,50,50,17,Ordinary,50.0,Flying,63,Tangled Feet,1,122,71,30.0,349,2 Speed,Flying,Big Pecks,Medium Slow,Keen Eye,50,60,15,Normal,Big Pecks,50.0
45,1.5,,Bird,Flying,75,70,70,18,Ordinary,50.0,Flying,83,Tangled Feet,1,216,101,39.5,479,3 Speed,Flying,Big Pecks,Medium Slow,Keen Eye,50,80,15,Normal,Big Pecks,50.0
255,0.3,,Mouse,Field,35,25,35,19,Ordinary,50.0,,30,Guts,1,51,72,3.5,253,1 Speed,Field,Hustle,Medium Fast,Run Away,50,56,15,Normal,Hustle,50.0
127,0.7,,Mouse,Field,60,50,70,20,Ordinary,50.0,,55,Guts,1,145,97,18.5,413,2 Speed,Field,Hustle,Medium Fast,Run Away,50,81,15,Normal,Hustle,50.0
255,0.3,,Tiny Bird,Flying,30,31,31,21,Ordinary,50.0,Flying,40,Sniper,1,52,70,2.0,262,1 Speed,Flying,,Medium Fast,Keen Eye,50,60,15,Normal,,50.0
90,1.2,,Beak,Flying,65,61,61,22,Ordinary,50.0,Flying,65,Sniper,1,155,100,38.0,442,2 Speed,Flying,,Medium Fast,Keen Eye,50,90,15,Normal,,50.0
255,2.0,Field,Snake,Dragon ,44,40,54,23,Ordinary,50.0,,35,Shed Skin,1,58,55,6.9,288,1 Attack,Dragon ,Unnerve,Medium Fast,Intimidate,50,60,20,Poison,Unnerve,50.0
90,3.5,Field,Cobra,Dragon ,69,65,79,24,Ordinary,50.0,,60,Shed Skin,1,157,80,65.0,448,2 Attack,Dragon ,Unnerve,Medium Fast,Intimidate,50,95,20,Poison,Unnerve,50.0
190,0.4,Field,Mouse,Fairy ,40,50,50,25,Ordinary,50.0,,35,Lightning Rod,1,112,90,6.0,320,2 Speed,Fairy ,,Medium Fast,Static,50,55,10,Electric,,50.0
75,0.8,Field,Mouse,Fairy ,55,90,80,26,Ordinary,50.0,,60,Lightning Rod,1,243,110,30.0,485,3 Speed,Fairy ,,Medium Fast,Static,50,90,10,Electric,,50.0
255,0.6,,Mouse,Field,85,20,30,27,Ordinary,50.0,,50,Sand Rush,1,60,40,12.0,300,1 Defense,Field,,Medium Fast,Sand Veil,50,75,20,Ground,,50.0
90,1.0,,Mouse,Field,110,45,55,28,Ordinary,50.0,,75,Sand Rush,1,158,65,29.5,450,2 Defense,Field,,Medium Fast,Sand Veil,50,100,20,Ground,,50.0
235,0.4,Monster,Poison Pin,Field ,52,40,40,29,Ordinary,100.0,,55,Rivalry,1,55,41,7.0,275,1 HP,Field ,Hustle,Medium Slow,Poison Point,50,47,20,Poison,Hustle,0.0
120,0.8,,Poison Pin,Undiscovered,67,55,55,30,Ordinary,100.0,,70,Rivalry,1,128,56,20.0,365,2 HP,Undiscovered,Hustle,Medium Slow,Poison Point,50,62,20,Poison,Hustle,0.0
45,1.3,,Drill,Undiscovered,87,75,85,31,Ordinary,100.0,Ground,90,Rivalry,1,227,76,60.0,505,3 HP,Undiscovered,Sheer Force,Medium Slow,Poison Point,50,92,20,Poison,Sheer Force,0.0
235,0.5,Monster,Poison Pin,Field ,40,40,40,32,Ordinary,0.0,,46,Rivalry,1,55,50,9.0,273,1 Attack,Field ,Hustle,Medium Slow,Poison Point,50,57,20,Poison,Hustle,100.0
120,0.9,Monster,Poison Pin,Field ,57,55,55,33,Ordinary,0.0,,61,Rivalry,1,128,65,19.5,365,2 Attack,Field ,Hustle,Medium Slow,Poison Point,50,72,20,Poison,Hustle,100.0
45,1.4,Monster,Drill,Field ,77,85,75,34,Ordinary,0.0,Ground,81,Rivalry,1,227,85,62.0,505,3 Attack,Field ,Sheer Force,Medium Slow,Poison Point,50,102,20,Poison,Sheer Force,100.0
150,0.6,,Fairy,Fairy,48,60,65,35,Ordinary,75.0,,70,Magic Guard,1,113,35,7.5,323,2 HP,Fairy,Friend Guard,Fast,Cute Charm,140,45,10,Fairy,Friend Guard,25.0
25,1.3,,Fairy,Fairy,73,95,90,36,Ordinary,75.0,,95,Magic Guard,1,217,60,40.0,483,3 HP,Fairy,Unaware,Fast,Cute Charm,140,70,10,Fairy,Unaware,25.0
190,0.6,,Fox,Field,40,50,65,37,Ordinary,75.0,,38,Drought,1,60,65,9.9,299,1 Speed,Field,,Medium Fast,Flash Fire,50,41,20,Fire,,25.0
75,1.1,,Fox,Field,75,81,100,38,Ordinary,75.0,,73,Drought,1,177,100,19.9,505,"1 Sp. Def, 1 Speed",Field,,Medium Fast,Flash Fire,50,76,20,Fire,,25.0
170,0.5,,Balloon,Fairy,20,45,25,39,Ordinary,75.0,Fairy,115,Competitive,1,95,20,5.5,270,2 HP,Fairy,Friend Guard,Fast,Cute Charm,50,45,10,Normal,Friend Guard,25.0
50,1.0,,Balloon,Fairy,45,85,50,40,Ordinary,75.0,Fairy,140,Competitive,1,218,45,12.0,435,3 HP,Fairy,Frisk,Fast,Cute Charm,50,70,10,Normal,Frisk,25.0
255,0.8,,Bat,Flying,35,30,40,41,Ordinary,50.0,Flying,40,Infiltrator,1,49,55,7.5,245,1 Speed,Flying,,Medium Fast,Inner Focus,50,45,15,Poison,,50.0
90,1.6,,Bat,Flying,70,65,75,42,Ordinary,50.0,Flying,75,Infiltrator,1,159,90,55.0,455,2 Speed,Flying,,Medium Fast,Inner Focus,50,80,15,Poison,,50.0
255,0.5,,Weed,Grass,55,75,65,43,Ordinary,50.0,Poison,45,Run Away,1,64,30,5.4,320,1 Sp. Atk,Grass,,Medium Slow,Chlorophyll,50,50,20,Grass,,50.0
120,0.8,,Weed,Grass,70,85,75,44,Ordinary,50.0,Poison,60,Stench,1,138,40,8.6,395,2 Sp. Atk,Grass,,Medium Slow,Chlorophyll,50,65,20,Grass,,50.0
45,1.2,,Flower,Grass,85,110,90,45,Ordinary,50.0,Poison,75,Effect Spore,1,221,50,18.6,490,3 Sp. Atk,Grass,,Medium Slow,Chlorophyll,50,80,20,Grass,,50.0
